year,month,day,title,file,Topic,Count,topic_1,topic_2,topic_3,topic_4,date,Month,Topic_Label
2023,10,5,Israelis kill four Palestinians in occupied West Bank confrontations,2023-10-05_3314.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,6,Palestinian killed as Israeli settlers attack West Bank town of Huwara,2023-10-06_3311.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,8,"Israel-Hamas conflict: List of key events, day 2 after surprise attack",2023-10-08_3296.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,12,Palestinian killed in alleged clash with Israeli police in East Jerusalem,2023-10-12_3179.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,12,"Palestinian man, son attending funeral procession in West Bank shot dead",2023-10-12_3184.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,15,Palestinian-American boy stabbed to death in Gaza war-related killing in US,2023-10-15_3111.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,16,Funeral in US for Palestinian-American boy killed in suspected hate crime,2023-10-16_3078.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,19,Several Palestinians killed by Israeli forces in the occupied West Bank,2023-10-19_2994.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,19,Israel’s war on Gaza: Is the West Bank under increased attack too?,2023-10-19_2996.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,20,‘Silent annexation’: Settlers dispossess West Bank Bedouins amid Israel war,2023-10-20_2981.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,22,Israel strikes mosque in occupied West Bank refugee camp,2023-10-22_2936.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,23,‘He’s not dead!’ Palestinian mourns her son slain by Israeli forces,2023-10-23_2898.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,23,"Israeli raids in occupied West Bank kill two, hundreds arrested",2023-10-23_2911.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,25,At least five killed in Israeli raids in occupied West Bank: Ministry,2023-10-25_2869.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,27,Israeli forces kill four Palestinians in occupied West Bank: WAFA,2023-10-27_2805.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,30,Illinois man pleads not guilty in killing of Palestinian-American boy,2023-10-30_2712.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,30,The aftermath of Israeli army’s raid in Jenin in occupied West Bank,2023-10-30_2724.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,10,30,Israeli raids kill five in occupied West Bank,2023-10-30_2725.txt,0,359,bank,west,israeli,palestinian,2023-10-01,2023-10-01,"bank, west, israeli, palestinian"
2023,11,2,Israeli forces kill three Palestinians as West Bank violence soars,2023-11-02_2631.txt,0,359,bank,west,israeli,palestinian,2023-11-01,2023-11-01,"bank, west, israeli, palestinian"
2023,11,3,‘Unsafe in own home’: Israeli settlers spread terror in South Hebron Hills,2023-11-03_2613.txt,0,359,bank,west,israeli,palestinian,2023-11-01,2023-11-01,"bank, west, israeli, palestinian"
2023,11,3,Israel kills at least 10 Palestinians in occupied West Bank,2023-11-03_2617.txt,0,359,bank,west,israeli,palestinian,2023-11-01,2023-11-01,"bank, west, israeli, palestinian"
2023,11,6,"Who are Israeli settlers, and why do they live on Palestinian lands?",2023-11-06_2546.txt,0,359,bank,west,israeli,palestinian,2023-11-01,2023-11-01,"bank, west, israeli, palestinian"
