year,month,day,title,file,Topic,Count,topic_1,topic_2,topic_3,topic_4,date
2023,6,2,The Tories can never be true friends of Palestine,2023-06-02_3529.txt,-1,1269,the,to,of,and,2023-06-01
2023,6,4,‘Better to die there’: Palestinians mourn Ein Samiya displacement,2023-06-04_3527.txt,-1,1269,the,to,of,and,2023-06-01
2023,6,8,Middle East roundup: Palestinian toddler killed by Israeli forces,2023-06-08_3521.txt,-1,1269,the,to,of,and,2023-06-01
2023,6,13,Why Shin Bet may be used to police Palestinian areas in Israel,2023-06-13_3516.txt,-1,1269,the,to,of,and,2023-06-01
2023,6,14,US to address killing of American citizen ‘directly’ with Israel,2023-06-14_3511.txt,-1,1269,the,to,of,and,2023-06-01
2023,6,14,The family behind a unique Palestinian football club,2023-06-14_3513.txt,-1,1269,the,to,of,and,2023-06-01
2023,6,14,Israeli forces face no charges over death of Palestinian-American,2023-06-14_3514.txt,-1,1269,the,to,of,and,2023-06-01
2023,6,15,Funeral held for young man killed by Israeli forces in Nablus,2023-06-15_3509.txt,-1,1269,the,to,of,and,2023-06-01
2023,6,16,The real problem with Israel’s ‘collective punishment’,2023-06-16_3508.txt,-1,1269,the,to,of,and,2023-06-01
2023,6,22,‘He was my life’: The people killed by Israeli forces in Jenin,2023-06-22_3491.txt,-1,1269,the,to,of,and,2023-06-01
2023,6,23,US says ‘engaging’ with Israel after West Bank settler attacks,2023-06-23_3483.txt,-1,1269,the,to,of,and,2023-06-01
2023,6,23,"Middle East roundup: Jenin, the refugee camp on Israel’s radar",2023-06-23_3485.txt,-1,1269,the,to,of,and,2023-06-01
2023,6,23,"Russia on UN ‘list of shame’ for killing children, Israel absent",2023-06-23_3487.txt,-1,1269,the,to,of,and,2023-06-01
2023,6,28,"Israeli, Palestinian officials discuss violence in West Bank",2023-06-28_3477.txt,-1,1269,the,to,of,and,2023-06-01
2023,6,29,"Russia and Israel both kill children. Shame both, Mr Guterres",2023-06-29_3474.txt,-1,1269,the,to,of,and,2023-06-01
2023,7,3,‘A real massacre’: Israel’s attack on Palestinians in Jenin,2023-07-03_3462.txt,-1,1269,the,to,of,and,2023-07-01
2023,7,3,Steady US support gives Israel ‘cover’ to attack Jenin: Analysts,2023-07-03_3463.txt,-1,1269,the,to,of,and,2023-07-01
2023,7,4,"Aid groups alarmed at Jenin access curbs, scale of Israeli attack",2023-07-04_3459.txt,-1,1269,the,to,of,and,2023-07-01
2023,7,5,"Believe it or not, justice will prevail in Palestine",2023-07-05_3453.txt,-1,1269,the,to,of,and,2023-07-01
2023,7,5,‘They can’t break our spirit’: Jenin residents after Israel siege,2023-07-05_3454.txt,-1,1269,the,to,of,and,2023-07-01
2023,7,5,Israel bombs Gaza following Jenin assault,2023-07-05_3455.txt,-1,1269,the,to,of,and,2023-07-01
2023,7,6,Israeli court acquits officer of killing autistic Palestinian man,2023-07-06_3447.txt,-1,1269,the,to,of,and,2023-07-01
2023,7,7,Analysis: Can Islamic Jihad survive Israel’s assassination drive?,2023-07-07_3441.txt,-1,1269,the,to,of,and,2023-07-01
2023,7,7,Middle East roundup: Israel pounds West Bank refugee camp,2023-07-07_3442.txt,-1,1269,the,to,of,and,2023-07-01
2023,7,7,UN chief Guterres condemns Israel’s raid on Jenin refugee camp,2023-07-07_3445.txt,-1,1269,the,to,of,and,2023-07-01
2023,7,8,Israel won’t criminally charge five officers for 2021 Gaza attack,2023-07-08_3438.txt,-1,1269,the,to,of,and,2023-07-01
